Whichyear,feelingrightnow,ExpressFeeling,Gender,Age,Yourlocation,Relationshipstatus,Areyouhappyinancialy,succeededInEducationalinstitution,Understandingwithfamily,feelingpressureinyourstudy,satisfiedwithacademicresult,happywithlivingplace,supportsyouyouracademiclife,usedanysocialmedia,haveinferioritycomplex,satisfiedwithmeal,feelingSick/healt issues,donerecreationalactivitytoday,sleepAtNight
4th year,5,100,Male,22,Home,Single,Yes,5,Good,Yes,Yes,Yes,Family,Not applicable,No,Yes,Yes,Yes,8
4th year,3,51,Male,23,Home,Single,No,3,Normal,Yes,Yes,Yes,Family,Yes,Maybe,Neutral,No,Yes,8
4th year,4,87,Male,23,Playground,Single,Yes,4,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,7
4th year,2,37,Male,23,Home,Single,Yes,1,Normal,Yes,Yes,No,Family,Yes,Maybe,Neutral,Yes,Yes,5
4th year,3,56,Male,23,Hall-Mess,Single,No,4,Normal,Yes,No,No,Family,Yes,No,Neutral,No,No,7
4th year,2,42,Male,23,Hall-Mess,Single,No,2,Bad,Yes,Yes,No,Family,Yes,Maybe,Yes,Yes,Yes,5
4th year,3,65,Male,23,Department,Single,Yes,4,Normal,Yes,No,No,Friends,Yes,Maybe,Neutral,No,Yes,6
4th year,5,94,Male,23,Department,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,10
4th year,3,56,Male,23,Department,Single,No,3,Good,Yes,No,Yes,Friends,Yes,No,Neutral,Yes,Yes,7
4th year,5,90,Male,23,Playground,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,7
4th year,3,63,Male,23,Hall-Mess,Single,No,4,Normal,No,No,No,Family,Yes,No,Yes,Yes,Yes,7
4th year,5,96,Male,23,Home,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Neutral,No,No,9
4th year,3,53,Male,23,Home,Single,Yes,3,Good,Yes,No,No,Friends,Yes,No,Neutral,Yes,Yes,7
4th year,4,71,Male,23,Department,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,10
4th year,1,9,Male,23,Home,Single,No,3,Bad,Yes,No,Yes,Friends,Yes,No,Yes,Yes,No,4
4th year,3,62,Male,23,Hall-Mess,Single,No,4,Good,No,Yes,No,Family,Yes,Maybe,Neutral,No,No,6
4th year,1,13,Male,23,Home,Single,No,2,Normal,Yes,Yes,Yes,Friends,Yes,Yes,Yes,Yes,No,5
4th year,5,94,Male,23,Home,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,10
4th year,1,17,Male,23,Home,Single,No,1,Bad,Yes,Yes,Yes,Family,Yes,Yes,No,Yes,Yes,7
4th year,5,100,Male,23,Hall-Mess,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,No,7
4th year,3,58,Male,23,Playground,Single,No,5,Good,Yes,Yes,Yes,Friends,Yes,No,Neutral,No,No,8
4th year,4,77,Male,23,Playground,Single,Yes,4,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,No,8
4th year,2,20,Male,23,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Friends,Yes,Yes,Yes,Yes,No,6
4th year,2,43,Male,23,Playground,Single,No,3,Normal,Yes,Yes,No,Family,Yes,Yes,Yes,No,Yes,6
4th year,3,59,Male,23,Home,Single,Yes,3,Good,Yes,Yes,No,Friends,Yes,Maybe,Neutral,No,Yes,7
4th year,1,5,Male,23,Home,Single,Yes,2,Normal,Yes,Yes,Yes,Family,Yes,Yes,Neutral,No,Yes,5
4th year,3,63,Male,23,Home,Single,Yes,3,Normal,Yes,Yes,Yes,Friends,Yes,No,Neutral,Yes,No,8
4th year,1,1,Male,23,Home,Single,Yes,2,Bad,Yes,No,No,Friends,Yes,No,No,No,Yes,7
4th year,3,59,Male,23,Playground,Single,No,4,Normal,No,No,No,Friends,Yes,No,Neutral,Yes,Yes,7
4th year,1,17,Male,23,Department,Single,Yes,1,Bad,Yes,Yes,No,Friends,Yes,Yes,No,No,No,4
4th year,3,54,Male,23,Department,Single,Yes,3,Normal,Yes,Yes,No,Family,Yes,No,Yes,Yes,Yes,8
4th year,4,72,Male,23,Home,Single,Yes,5,Good,No,No,Yes,Family,Yes,No,Neutral,No,No,10
